PRIMERPERIODO,T,ESTATUSALUMNO,TITULACION,PRV,PRM,PAA,CatPAA,PREPA,CatPrepa,LocalForanea,CIUDADPREPA,ESTADOPREPA,CodEstado,PROMPRE,CatPromPre,BECA,CREDITO,CATFIN,PROMSEM1,EDADING,CatEdad,SEXO,IdSexo,E,ECR2
2005,14,Egresado,Titulado,519,571,1090,1,COLEGIO CERVANTES DE TORREON *10396,2,2,TORREON,COAHUILA,8,75,1,10,0,2,7.71,20.55,2,M,1,0,0
2005,12,Baja,Pendiente,581,506,1087,1,INSTITUTO FRAY PEDRO DE GANTE *10038,2,2,COLIMA,COLIMA,9,73,1,0,0,1,8.13,19.62,2,M,1,1,1
2005,10,Egresado,Titulado,0,0,0,3,PREPARATORIA REGIONAL DE ZAPOTLANEJO *10278,1,1,ZAPOTLANEJO,JALISCO,15,76,1,0,0,1,8.63,19.72,2,M,1,0,3
2005,10,Egresado,Titulado,0,0,0,3,UNIVERSIDAD DE GUADALAJARA ESCUELA PREPARATORIA NO. 5 *10182,1,1,GUADALAJARA,JALISCO,15,90,3,35,35,2,9.13,18.45,1,M,1,0,3
2005,10,Egresado,Titulado,0,0,0,3,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE * 36541,2,1,TLAQUEPAQUE,JALISCO,15,92,3,0,50,2,9.25,18.38,1,M,1,0,3
2005,12,Baja,Pendiente,611,699,1310,2,CENTRO UNIVERSITARIO UNE * 65654,2,1,ZAPOPAN,JALISCO,15,76,1,0,0,1,6.63,18.41,1,M,1,1,1
2005,10,Egresado,Titulado,603,699,1302,2,PREPARATORIA MEXICO *9555,2,2,CIUDAD GUZMAN,JALISCO,15,95,3,0,25,2,9.13,19.42,2,M,1,0,3
2005,9,Egresado,Titulado,585,666,1251,2,CENTRO EDUCATIVO FREIRE *12346,2,1,ZAPOPAN,JALISCO,15,100,3,0,0,1,9.50,18.42,1,F,2,0,3
2005,10,Egresado,Titulado,0,0,0,3,INSTITUTO DE ESTUDIOS SUPERIORES DE LOS MOCHIS *10324,2,2,LOS MOCHIS,SINALOA,25,87,2,50,0,2,9.13,18.22,1,M,1,0,3
2005,9,Egresado,Titulado,0,0,0,3,COLEGIO MEXICO NUEVO *9693,2,1,ZAPOPAN,JALISCO,15,86,2,40,30,2,9.13,18.85,1,M,1,0,3
2005,15,Baja,Pendiente,570,699,1269,2,PREPARATORIA ANAHUAC REVOLUCION *10191,2,1,GUADALAJARA,JALISCO,15,69,1,20,40,2,8.17,20.43,2,M,1,0,0
2005,13,Baja,Pendiente,515,533,1048,1,UNIVERSIDAD DE GUADALAJARA ESCUELA PREPARATORIA NO. 7 *10220,1,1,GUADALAJARA,JALISCO,15,87,2,0,0,1,8.13,17.81,1,M,1,0,0
2005,16,Egresado,Titulado,559,666,1225,2,VASCO DE QUIROGA *10111,2,2,LA PIEDAD,MICHOACAN,16,74,1,0,30,2,8.83,17.63,1,M,1,0,0
2005,11,Egresado,Titulado,480,688,1168,1,UNIVERSIDAD AUTONOMA DE GUADALAJARA *10068,2,1,GUADALAJARA,JALISCO,15,85,2,0,0,1,8.29,18.07,1,M,1,0,3
2005,11,Egresado,Titulado,502,640,1142,1,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE * 36541,2,1,TLAQUEPAQUE,JALISCO,15,72,1,50,30,2,8.00,18.20,1,M,1,0,3
2005,11,Egresado,Titulado,596,669,1265,2,UNIVERSIDAD DE COLIMA BACHILLERATO TECNICO # 1  *9380,1,2,COLIMA,COLIMA,9,80,2,0,0,1,7.88,18.14,1,M,1,0,3
2005,10,Egresado,Titulado,467,650,1117,1,PREPARATORIA REGIONAL DE AMECA *10173,1,2,AMECA,JALISCO,15,87,2,35,35,2,8.13,17.86,1,M,1,0,3
2005,3,Baja,Pendiente,541,621,1162,1,COLEGIO GUADALAJARA SEP * 65541,2,1,ZAPOPAN,JALISCO,15,80,2,30,30,2,7.67,18.78,1,M,1,1,1
2005,10,Egresado,Titulado,516,599,1115,1,INSTITUTO DE CIENCIAS *10059,2,1,GUADALAJARA,JALISCO,15,81,2,40,35,2,8.57,20.16,2,M,1,0,3
2005,11,Egresado,Titulado,0,0,0,3,PREPARATORIA ANAHUAC REVOLUCION *10191,2,1,GUADALAJARA,JALISCO,15,84,2,0,0,1,9.25,19.31,2,M,1,0,3
2005,11,Egresado,Titulado,0,0,0,3,INSTITUTO CRISTOBAL COLON *200809,2,2,ZAMORA DE HIDALGO,MICHOACAN,16,88,2,20,40,2,8.25,19.54,2,M,1,0,3
2005,19,Egresado,Titulado,585,732,1317,2,CENTRO CULTURAL ALTEÑO *10054,2,2,ARANDAS,JALISCO,15,81,2,20,40,2,8.50,18.27,1,M,1,0,0
2005,10,Egresado,Titulado,611,732,1343,2,CENTRO CULTURAL ALTEÑO *10054,2,2,ARANDAS,JALISCO,15,83,2,0,35,2,9.43,17.72,1,M,1,0,3
2005,9,Egresado,Titulado,0,0,0,3,PREPARATORIA FEBRES CORDERO *10070,2,1,GUADALAJARA,JALISCO,15,86,2,0,0,1,9.29,17.87,1,M,1,0,3
2005,11,Egresado,Titulado,0,0,0,3,COLEGIO CERVANTES *10067,2,1,GUADALAJARA,JALISCO,15,89,2,40,30,2,8.88,18.90,1,F,2,0,3
2005,9,Egresado,Titulado,0,0,0,3,COLEGIO CERVANTES *10067,2,1,GUADALAJARA,JALISCO,15,88,2,35,35,2,8.63,17.95,1,M,1,0,3
2005,10,Egresado,Titulado,550,754,1304,2,PREPARATORIA ANAHUAC EXTENSION GARIBALDI *10212,2,1,GUADALAJARA,JALISCO,15,79,1,35,35,2,8.50,18.48,1,M,1,0,3
2005,8,Baja,Pendiente,497,610,1107,1,UNIVERSIDAD AUTONOMA DE GUADALAJARA *10068,2,1,GUADALAJARA,JALISCO,15,77,1,0,0,1,6.00,19.04,2,M,1,1,1
2005,10,Egresado,Titulado,585,779,1364,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,87,2,0,30,2,7.13,18.80,1,F,2,0,3
2005,15,Egresado,Titulado,0,0,0,3,PREPARATORIA FEBRES CORDERO *10070,2,1,GUADALAJARA,JALISCO,15,84,2,0,30,2,7.43,18.37,1,M,1,0,0
2005,13,Egresado,Titulado,664,743,1407,2,SILVIANO CARRILLO *9553,2,2,CIUDAD GUZMAN,JALISCO,15,84,2,25,25,2,8.14,18.15,1,M,1,0,0
2005,9,Egresado,Titulado,611,772,1383,2,I.T.E.S.M. CAMPUS COLIMA *9381,2,2,COLIMA,COLIMA,9,93,3,20,40,2,9.38,18.62,1,M,1,0,3
2005,11,Egresado,Titulado,510,630,1140,1,I.T.E.S.M. CAMPUS SONORA NORTE *10136,2,2,HERMOSILLO,SONORA,26,81,2,10,0,2,8.63,18.30,1,M,1,0,3
2005,10,Egresado,Titulado,587,611,1198,1,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,81,2,0,0,1,7.75,18.63,1,F,2,0,3
2005,11,Egresado,Titulado,0,0,0,3,COLEGIO CERVANTES *10067,2,1,GUADALAJARA,JALISCO,15,87,2,30,30,2,8.86,18.35,1,M,1,0,3
2006,17,Baja,Pendiente,200,289,489,1,PREPARATORIA LA PAZ *10199,2,1,GUADALAJARA,JALISCO,15,79,1,0,0,1,8.25,19.33,2,M,1,0,0
